DATE,EUR,USD,CHF
1/4/2010,4.2265,2.9401,2.8419
1/5/2010,4.2077,2.9186,2.8345
1/6/2010,4.162,2.8987,2.8051
1/7/2010,4.1721,2.9089,2.8158
1/8/2010,4.1679,2.9143,2.8134
1/11/2010,4.1383,2.8489,2.804
1/12/2010,4.1355,2.8511,2.802
1/13/2010,4.1215,2.8388,2.7884
1/14/2010,4.1286,2.8454,2.7892
1/15/2010,4.1167,2.8609,2.7872
1/18/2010,4.1008,2.8513,2.7806
1/19/2010,4.1097,2.8687,2.7818
1/20/2010,4.1196,2.9043,2.7912
1/21/2010,4.144,2.9528,2.8151
1/22/2010,4.1382,2.9255,2.8151
1/25/2010,4.1252,2.9079,2.8028
1/26/2010,4.1319,2.9309,2.8088
1/27/2010,4.1179,2.9273,2.7979
1/28/2010,4.1318,2.9502,2.8051
1/29/2010,4.122,2.9509,2.8101
2/1/2010,4.0805,2.9358,2.7719
2/2/2010,4.0877,2.9331,2.7768
2/3/2010,4.0964,2.9257,2.7811
2/4/2010,4.1214,2.9749,2.8048
2/5/2010,4.1397,3.0228,2.8189
2/8/2010,4.1325,3.016,2.816
2/9/2010,4.1298,3.0108,2.8161
2/10/2010,4.1142,2.9817,2.8048
2/11/2010,4.1071,2.9849,2.7998
2/12/2010,4.127,3.0431,2.8173
2/15/2010,4.1173,3.0235,2.8082
2/16/2010,4.1137,3.0128,2.8059
2/17/2010,4.1196,2.9975,2.8072
2/18/2010,4.1287,3.0389,2.8164
2/19/2010,4.1357,3.0647,2.8222
2/22/2010,4.1252,3.0303,2.8165
2/23/2010,4.1224,3.0306,2.8116
2/24/2010,4.1269,3.0443,2.8184
2/25/2010,4.1255,3.0558,2.8192
2/26/2010,4.1073,3.0151,2.8069
3/1/2010,4.1054,3.0163,2.8046
3/2/2010,4.1092,3.0406,2.8088
3/3/2010,4.1049,3.012,2.8061
3/4/2010,4.0929,2.9914,2.7966
3/5/2010,4.0923,3.0119,2.7971
3/8/2010,4.0939,3.0007,2.7976
3/9/2010,4.1007,3.021,2.8035
3/10/2010,4.0981,3.0163,2.8014
3/11/2010,4.0987,3.0013,2.8053
3/12/2010,4.0929,2.9703,2.804
3/15/2010,4.0898,2.9819,2.8125
3/16/2010,4.0908,2.9895,2.8176
3/17/2010,4.0821,2.9597,2.8138
3/18/2010,4.0801,2.9817,2.8178
3/19/2010,4.0824,3.0084,2.8477
3/22/2010,4.0888,3.023,2.8473
3/23/2010,4.0736,3.0144,2.845
3/24/2010,4.0716,3.0469,2.8511
3/25/2010,4.0653,3.0453,2.8475
3/26/2010,4.0682,3.041,2.8437
3/29/2010,4.0704,3.0204,2.8434
3/30/2010,4.0729,3.0233,2.8449
3/31/2010,4.0958,3.0422,2.8665
4/1/2010,4.1094,3.044,2.8908
4/2/2010,4.1034,3.0292,2.8648
4/6/2010,4.0967,3.055,2.8601
4/7/2010,4.0908,3.0567,2.8562
4/8/2010,4.1128,3.0897,2.8712
4/9/2010,4.1308,3.0845,2.8799
4/12/2010,4.1305,3.0361,2.8639
4/13/2010,4.1425,3.0528,2.8828
4/14/2010,4.1355,3.0306,2.8774
4/15/2010,4.1397,3.0598,2.8876
4/16/2010,4.1429,3.0576,2.8901
4/19/2010,4.1597,3.0961,2.8994
4/20/2010,4.1484,3.0707,2.893
4/21/2010,4.1347,3.0777,2.885
4/22/2010,4.1411,3.1021,2.8901
4/23/2010,4.1285,3.0969,2.879
4/26/2010,4.1186,3.0963,2.8724
4/27/2010,4.1246,3.096,2.8717
4/28/2010,4.143,3.1416,2.892
4/29/2010,4.138,3.1211,2.884
4/30/2010,4.1276,3.0973,2.8776
5/3/2010,4.1275,3.1178,2.8805
5/4/2010,4.1352,3.1491,2.8865
5/5/2010,4.1492,3.1975,2.8963
5/6/2010,4.1833,3.2759,2.9412
5/7/2010,4.1874,3.2851,2.9588
5/10/2010,4.1641,3.1976,2.9208
5/11/2010,4.1756,3.2894,2.9634
5/12/2010,4.1751,3.2901,2.9646
5/13/2010,4.1785,3.3209,2.9814
5/14/2010,4.1814,3.3633,2.9853
5/17/2010,4.1878,3.4018,2.9902
5/18/2010,4.1949,3.3819,2.9932
5/19/2010,4.1997,3.4451,2.999
5/20/2010,4.1998,3.3942,2.9539
5/21/2010,4.195,3.3549,2.9147
5/25/2010,4.1838,3.426,2.9327
5/26/2010,4.1724,3.3867,2.9366
5/27/2010,4.1532,3.384,2.9309
5/28/2010,4.1623,3.3541,2.9175
5/31/2010,4.1792,3.3984,2.9379
6/1/2010,4.191,3.4544,2.9528
6/2/2010,4.1835,3.4116,2.9579
6/3/2010,4.1864,3.4072,2.9598
6/4/2010,4.2051,3.4499,2.9917
6/7/2010,4.218,3.5243,3.0293
6/8/2010,4.2311,3.5496,3.0646
6/9/2010,4.22,3.5274,3.0654
6/10/2010,4.2208,3.4961,3.0594
6/11/2010,4.2163,3.4775,3.0442
6/14/2010,4.2234,3.446,3.0344
6/15/2010,4.2322,3.4556,3.0259
6/16/2010,4.2254,3.435,3.0371
6/17/2010,4.2372,3.4196,3.0725
6/18/2010,4.2448,3.4299,3.0889
6/21/2010,4.2254,3.4096,3.0734
6/22/2010,4.2274,3.4432,3.1026
6/23/2010,4.2234,3.4369,3.1051
6/24/2010,4.2311,3.4437,3.1186
6/25/2010,4.2808,3.4911,3.1662
6/28/2010,4.3257,3.4996,3.2218
6/29/2010,4.3523,3.5697,3.2793
6/30/2010,4.3688,3.5617,3.2958
7/1/2010,4.3537,3.542,3.3089
7/2/2010,4.3048,3.4414,3.2303
7/5/2010,4.2613,3.4001,3.2005
7/6/2010,4.2393,3.3687,3.1713
7/7/2010,4.232,3.3653,3.1771
7/8/2010,4.2285,3.3414,3.172
7/9/2010,4.2375,3.3485,3.1719
7/12/2010,4.2471,3.3805,3.1675
7/13/2010,4.258,3.3845,3.1913
7/14/2010,4.2596,3.3519,3.1682
7/15/2010,4.2594,3.3306,3.1763
7/16/2010,4.2628,3.2839,3.1535
7/19/2010,4.274,3.2983,3.1333
7/20/2010,4.2698,3.3017,3.1335
7/21/2010,4.2685,3.3279,3.1636
7/22/2010,4.2664,3.3275,3.1903
7/23/2010,4.2642,3.2943,3.16
7/26/2010,4.2571,3.3003,3.1352
7/27/2010,4.2476,3.2728,3.0926
7/28/2010,4.2531,3.2714,3.0875
7/29/2010,4.2529,3.2522,3.1056
7/30/2010,4.2471,3.2679,3.1376
8/2/2010,4.2463,3.2483,3.1069
8/3/2010,4.2371,3.1996,3.0876
8/4/2010,4.2527,3.2228,3.0925
8/5/2010,4.2547,3.223,3.0817
8/6/2010,4.2467,3.2224,3.076
8/9/2010,4.2297,3.1847,3.0658
8/10/2010,4.234,3.217,3.0563
8/11/2010,4.2404,3.2555,3.0864
8/12/2010,4.2347,3.302,3.1277
8/13/2010,4.2327,3.2953,3.1327
8/16/2010,4.2303,3.3035,3.1751
8/17/2010,4.2356,3.2876,3.1574
8/18/2010,4.2385,3.2839,3.1561
8/19/2010,4.2283,3.2974,3.1709
8/20/2010,4.2304,3.3228,3.2096
8/23/2010,4.2244,3.3298,3.217
8/24/2010,4.2396,3.3584,3.2199
8/25/2010,4.2368,3.3452,3.2511
8/26/2010,4.246,3.3407,3.2493
8/27/2010,4.2447,3.3381,3.2616
8/30/2010,4.2326,3.328,3.2348
8/31/2010,4.2597,3.3582,3.2958
9/1/2010,4.2636,3.3335,3.2901
9/2/2010,4.2616,3.3203,3.2821
9/3/2010,4.2796,3.3328,3.2808
9/6/2010,4.2762,3.3168,3.2685
9/7/2010,4.2915,3.3625,3.3202
9/8/2010,4.2872,3.3791,3.3504
9/9/2010,4.2821,3.3684,3.3178
9/10/2010,4.2723,3.3569,3.2787
9/13/2010,4.263,3.3288,3.2834
9/14/2010,4.2478,3.3086,3.2971
9/15/2010,4.2394,3.2687,3.2574
