isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE
ED0-2,F,Y16-24,AT,2013,8.2
ED0-2,F,Y16-24,AT,2018,8
ED0-2,F,Y16-24,BE,2013,7.7
ED0-2,F,Y16-24,BE,2018,7.8
ED0-2,F,Y16-24,BG,2013,5.5
ED0-2,F,Y16-24,BG,2018,6.3
ED0-2,F,Y16-24,CH,2013,
ED0-2,F,Y16-24,CH,2018,8.4
ED0-2,F,Y16-24,CY,2013,7.5
ED0-2,F,Y16-24,CY,2018,7.9
ED0-2,F,Y16-24,CZ,2013,7.8
ED0-2,F,Y16-24,CZ,2018,8.2
ED0-2,F,Y16-24,DE,2013,7.4
ED0-2,F,Y16-24,DE,2018,7.7
ED0-2,F,Y16-24,DK,2013,8.3
ED0-2,F,Y16-24,DK,2018,7.2
ED0-2,F,Y16-24,EE,2013,7.3
ED0-2,F,Y16-24,EE,2018,7.9
ED0-2,F,Y16-24,EL,2013,7
ED0-2,F,Y16-24,EL,2018,7.2
ED0-2,F,Y16-24,ES,2013,7.3
ED0-2,F,Y16-24,ES,2018,7.6
ED0-2,F,Y16-24,FI,2013,8.3
ED0-2,F,Y16-24,FI,2018,8.2
ED0-2,F,Y16-24,FR,2013,7.5
ED0-2,F,Y16-24,FR,2018,7.7
ED0-2,F,Y16-24,HR,2013,7.8
ED0-2,F,Y16-24,HR,2018,7.6
ED0-2,F,Y16-24,HU,2013,7
ED0-2,F,Y16-24,HU,2018,7.4
ED0-2,F,Y16-24,IE,2013,6.7
ED0-2,F,Y16-24,IE,2018,7.7
ED0-2,F,Y16-24,IS,2013,8
ED0-2,F,Y16-24,IS,2018,7.7
ED0-2,F,Y16-24,IT,2013,7
ED0-2,F,Y16-24,IT,2018,7.6
ED0-2,F,Y16-24,LT,2013,8.4
ED0-2,F,Y16-24,LT,2018,7.8
ED0-2,F,Y16-24,LU,2013,7.8
ED0-2,F,Y16-24,LU,2018,7.6
ED0-2,F,Y16-24,LV,2013,7.3
ED0-2,F,Y16-24,LV,2018,7.5
ED0-2,F,Y16-24,MT,2013,8
ED0-2,F,Y16-24,MT,2018,7.4
ED0-2,F,Y16-24,NL,2013,8.2
ED0-2,F,Y16-24,NL,2018,7.6
ED0-2,F,Y16-24,NO,2013,7.8
ED0-2,F,Y16-24,NO,2018,7.9
ED0-2,F,Y16-24,PL,2013,8.1
ED0-2,F,Y16-24,PL,2018,8.2
ED0-2,F,Y16-24,PT,2013,7.8
ED0-2,F,Y16-24,PT,2018,8.3
ED0-2,F,Y16-24,RO,2013,8.1
ED0-2,F,Y16-24,RO,2018,8
ED0-2,F,Y16-24,RS,2013,6.4
ED0-2,F,Y16-24,RS,2018,7.1
ED0-2,F,Y16-24,SE,2013,7.7
ED0-2,F,Y16-24,SE,2018,7.9
ED0-2,F,Y16-24,SI,2013,7.7
ED0-2,F,Y16-24,SI,2018,8.4
ED0-2,F,Y16-24,SK,2013,7.8
ED0-2,F,Y16-24,SK,2018,8.2
ED0-2,F,Y16-24,TR,2013,6.3
ED0-2,F,Y16-24,TR,2018,6.1
ED0-2,F,Y16-24,UK,2013,7.1
ED0-2,F,Y16-24,UK,2018,7.2
ED0-2,F,Y25-34,AT,2013,6.8
ED0-2,F,Y25-34,AT,2018,7.7
ED0-2,F,Y25-34,BE,2013,6.4
ED0-2,F,Y25-34,BE,2018,7
ED0-2,F,Y25-34,BG,2013,3.7
ED0-2,F,Y25-34,BG,2018,4.8
ED0-2,F,Y25-34,CH,2013,
ED0-2,F,Y25-34,CH,2018,6.9
ED0-2,F,Y25-34,CY,2013,6.1
ED0-2,F,Y25-34,CY,2018,6.3
ED0-2,F,Y25-34,CZ,2013,6.2
ED0-2,F,Y25-34,CZ,2018,6.5
ED0-2,F,Y25-34,DE,2013,6.6
ED0-2,F,Y25-34,DE,2018,6.1
ED0-2,F,Y25-34,DK,2013,
ED0-2,F,Y25-34,DK,2018,6.6
ED0-2,F,Y25-34,EE,2013,6.4
ED0-2,F,Y25-34,EE,2018,7.3
ED0-2,F,Y25-34,EL,2013,6.2
ED0-2,F,Y25-34,EL,2018,6
ED0-2,F,Y25-34,ES,2013,6.8
ED0-2,F,Y25-34,ES,2018,7.1
ED0-2,F,Y25-34,FI,2013,8
ED0-2,F,Y25-34,FI,2018,8
ED0-2,F,Y25-34,FR,2013,6.4
ED0-2,F,Y25-34,FR,2018,7.4
ED0-2,F,Y25-34,HR,2013,6.1
ED0-2,F,Y25-34,HR,2018,5.9
ED0-2,F,Y25-34,HU,2013,5.6
ED0-2,F,Y25-34,HU,2018,6.5
ED0-2,F,Y25-34,IE,2013,7
ED0-2,F,Y25-34,IE,2018,8.4
ED0-2,F,Y25-34,IS,2013,7.9
ED0-2,F,Y25-34,IS,2018,7.1
ED0-2,F,Y25-34,IT,2013,6.2
ED0-2,F,Y25-34,IT,2018,6.7
ED0-2,F,Y25-34,LT,2013,6.1
ED0-2,F,Y25-34,LT,2018,
ED0-2,F,Y25-34,LU,2013,6.9
ED0-2,F,Y25-34,LU,2018,7
ED0-2,F,Y25-34,LV,2013,6.4
ED0-2,F,Y25-34,LV,2018,7.5
ED0-2,F,Y25-34,MT,2013,7.1
ED0-2,F,Y25-34,MT,2018,7.2
ED0-2,F,Y25-34,NL,2013,7.9
ED0-2,F,Y25-34,NL,2018,7.5
ED0-2,F,Y25-34,NO,2013,7.8
ED0-2,F,Y25-34,NO,2018,8
ED0-2,F,Y25-34,PL,2013,6.9
ED0-2,F,Y25-34,PL,2018,7.1
ED0-2,F,Y25-34,PT,2013,6.2
ED0-2,F,Y25-34,PT,2018,7
ED0-2,F,Y25-34,RO,2013,6.9
ED0-2,F,Y25-34,RO,2018,7.1
ED0-2,F,Y25-34,RS,2013,4.8
ED0-2,F,Y25-34,RS,2018,5.2
ED0-2,F,Y25-34,SE,2013,
ED0-2,F,Y25-34,SE,2018,7.6
ED0-2,F,Y25-34,SI,2013,7
ED0-2,F,Y25-34,SI,2018,
ED0-2,F,Y25-34,SK,2013,5.2
ED0-2,F,Y25-34,SK,2018,5.9
ED0-2,F,Y25-34,TR,2013,5.6
ED0-2,F,Y25-34,TR,2018,5.6
ED0-2,F,Y25-34,UK,2013,6.1
ED0-2,F,Y25-34,UK,2018,7.3
ED0-2,F,Y25-64,AT,2018,7.3
ED0-2,F,Y25-64,BE,2018,7
ED0-2,F,Y25-64,BG,2018,4.2
ED0-2,F,Y25-64,CH,2018,7
ED0-2,F,Y25-64,CY,2018,6.5
ED0-2,F,Y25-64,CZ,2018,6.1
ED0-2,F,Y25-64,DE,2018,6.4
ED0-2,F,Y25-64,DK,2018,7.4
ED0-2,F,Y25-64,EE,2018,6.5
ED0-2,F,Y25-64,EL,2018,6
ED0-2,F,Y25-64,ES,2018,7
ED0-2,F,Y25-64,FI,2018,8
ED0-2,F,Y25-64,FR,2018,7
ED0-2,F,Y25-64,HR,2018,5.6
ED0-2,F,Y25-64,HU,2018,5.6
ED0-2,F,Y25-64,IE,2018,7.6
ED0-2,F,Y25-64,IS,2018,7.1
ED0-2,F,Y25-64,IT,2018,6.6
ED0-2,F,Y25-64,LT,2018,5.1
ED0-2,F,Y25-64,LU,2018,7.1
ED0-2,F,Y25-64,LV,2018,6.3
ED0-2,F,Y25-64,MT,2018,7.2
ED0-2,F,Y25-64,NL,2018,7.4
ED0-2,F,Y25-64,NO,2018,7.8
ED0-2,F,Y25-64,PL,2018,7.2
ED0-2,F,Y25-64,PT,2018,6.2
ED0-2,F,Y25-64,RO,2018,6.8
ED0-2,F,Y25-64,RS,2018,4.7
ED0-2,F,Y25-64,SE,2018,7.6
ED0-2,F,Y25-64,SI,2018,6.3
ED0-2,F,Y25-64,SK,2018,5.4
ED0-2,F,Y25-64,TR,2018,5.5
ED0-2,F,Y25-64,UK,2018,7
ED0-2,F,Y35-49,AT,2013,7
ED0-2,F,Y35-49,AT,2018,7.5
ED0-2,F,Y35-49,BE,2013,7.2
ED0-2,F,Y35-49,BE,2018,6.8
ED0-2,F,Y35-49,BG,2013,3.6
ED0-2,F,Y35-49,BG,2018,4
ED0-2,F,Y35-49,CH,2013,
ED0-2,F,Y35-49,CH,2018,6.6
ED0-2,F,Y35-49,CY,2013,5.6
ED0-2,F,Y35-49,CY,2018,6.8
ED0-2,F,Y35-49,CZ,2013,5.7
ED0-2,F,Y35-49,CZ,2018,5.9
ED0-2,F,Y35-49,DE,2013,6.3
ED0-2,F,Y35-49,DE,2018,6.1
ED0-2,F,Y35-49,DK,2013,6.8
ED0-2,F,Y35-49,DK,2018,6.9
ED0-2,F,Y35-49,EE,2013,6.1
ED0-2,F,Y35-49,EE,2018,6.5
ED0-2,F,Y35-49,EL,2013,5.7
ED0-2,F,Y35-49,EL,2018,5.9
ED0-2,F,Y35-49,ES,2013,6.5
ED0-2,F,Y35-49,ES,2018,7.1
ED0-2,F,Y35-49,FI,2013,7.6
ED0-2,F,Y35-49,FI,2018,7.7
ED0-2,F,Y35-49,FR,2013,6.5
ED0-2,F,Y35-49,FR,2018,7.1
ED0-2,F,Y35-49,HR,2013,5.5
ED0-2,F,Y35-49,HR,2018,6.2
ED0-2,F,Y35-49,HU,2013,4.9
ED0-2,F,Y35-49,HU,2018,5.6
ED0-2,F,Y35-49,IE,2013,6.8
ED0-2,F,Y35-49,IE,2018,7.4
ED0-2,F,Y35-49,IS,2013,7.7
ED0-2,F,Y35-49,IS,2018,7.7
ED0-2,F,Y35-49,IT,2013,6.4
ED0-2,F,Y35-49,IT,2018,6.7
ED0-2,F,Y35-49,LT,2013,5.2
ED0-2,F,Y35-49,LT,2018,5.6
ED0-2,F,Y35-49,LU,2013,7
ED0-2,F,Y35-49,LU,2018,7.2
ED0-2,F,Y35-49,LV,2013,5.5
ED0-2,F,Y35-49,LV,2018,5.9
ED0-2,F,Y35-49,MT,2013,6.7
ED0-2,F,Y35-49,MT,2018,7
ED0-2,F,Y35-49,NL,2013,7.5
ED0-2,F,Y35-49,NL,2018,7.6
ED0-2,F,Y35-49,NO,2013,7.2
ED0-2,F,Y35-49,NO,2018,7.3
ED0-2,F,Y35-49,PL,2013,6.8
ED0-2,F,Y35-49,PL,2018,7.8
ED0-2,F,Y35-49,PT,2013,5.9
ED0-2,F,Y35-49,PT,2018,6.5
ED0-2,F,Y35-49,RO,2013,6.9
ED0-2,F,Y35-49,RO,2018,6.9
ED0-2,F,Y35-49,RS,2013,4
ED0-2,F,Y35-49,RS,2018,4.7
ED0-2,F,Y35-49,SE,2013,7.1
ED0-2,F,Y35-49,SE,2018,7.5
ED0-2,F,Y35-49,SI,2013,6.5
ED0-2,F,Y35-49,SI,2018,6.7
ED0-2,F,Y35-49,SK,2013,4.6
ED0-2,F,Y35-49,SK,2018,4.8
ED0-2,F,Y35-49,TR,2013,5.6
ED0-2,F,Y35-49,TR,2018,5.5
ED0-2,F,Y35-49,UK,2013,6.4
ED0-2,F,Y35-49,UK,2018,6.8
ED0-2,F,Y50-64,AT,2013,7.1
ED0-2,F,Y50-64,AT,2018,7.1
ED0-2,F,Y50-64,BE,2013,7.1
ED0-2,F,Y50-64,BE,2018,7.1
ED0-2,F,Y50-64,BG,2013,3.5
ED0-2,F,Y50-64,BG,2018,4
ED0-2,F,Y50-64,CH,2013,
ED0-2,F,Y50-64,CH,2018,7.4
ED0-2,F,Y50-64,CY,2013,5.6
ED0-2,F,Y50-64,CY,2018,6.4
ED0-2,F,Y50-64,CZ,2013,5.9
ED0-2,F,Y50-64,CZ,2018,6
ED0-2,F,Y50-64,DE,2013,6.5
ED0-2,F,Y50-64,DE,2018,6.6
ED0-2,F,Y50-64,DK,2013,8.2
ED0-2,F,Y50-64,DK,2018,7.9
ED0-2,F,Y50-64,EE,2013,5.8
ED0-2,F,Y50-64,EE,2018,6
ED0-2,F,Y50-64,EL,2013,5.7
ED0-2,F,Y50-64,EL,2018,6
ED0-2,F,Y50-64,ES,2013,6.4
ED0-2,F,Y50-64,ES,2018,6.8
ED0-2,F,Y50-64,FI,2013,7.9
ED0-2,F,Y50-64,FI,2018,8.1
ED0-2,F,Y50-64,FR,2013,6.6
ED0-2,F,Y50-64,FR,2018,6.8
ED0-2,F,Y50-64,HR,2013,5.5
ED0-2,F,Y50-64,HR,2018,5.2
ED0-2,F,Y50-64,HU,2013,5
ED0-2,F,Y50-64,HU,2018,5.4
ED0-2,F,Y50-64,IE,2013,7.1
ED0-2,F,Y50-64,IE,2018,7.7
ED0-2,F,Y50-64,IS,2013,7.6
ED0-2,F,Y50-64,IS,2018,6.6
ED0-2,F,Y50-64,IT,2013,6.2
ED0-2,F,Y50-64,IT,2018,6.5
ED0-2,F,Y50-64,LT,2013,5.5
ED0-2,F,Y50-64,LT,2018,4.2
ED0-2,F,Y50-64,LU,2013,7
ED0-2,F,Y50-64,LU,2018,7
ED0-2,F,Y50-64,LV,2013,5.8
ED0-2,F,Y50-64,LV,2018,5.8
ED0-2,F,Y50-64,MT,2013,6.7
ED0-2,F,Y50-64,MT,2018,7.2
ED0-2,F,Y50-64,NL,2013,7.7
ED0-2,F,Y50-64,NL,2018,7.4
ED0-2,F,Y50-64,NO,2013,7.7
ED0-2,F,Y50-64,NO,2018,8.1
ED0-2,F,Y50-64,PL,2013,6.6
ED0-2,F,Y50-64,PL,2018,7
ED0-2,F,Y50-64,PT,2013,5.5
ED0-2,F,Y50-64,PT,2018,5.9
ED0-2,F,Y50-64,RO,2013,6.6
ED0-2,F,Y50-64,RO,2018,6.6
ED0-2,F,Y50-64,RS,2013,4.1
ED0-2,F,Y50-64,RS,2018,4.6
ED0-2,F,Y50-64,SE,2013,7.2
ED0-2,F,Y50-64,SE,2018,7.7
ED0-2,F,Y50-64,SI,2013,6
ED0-2,F,Y50-64,SI,2018,6.2
ED0-2,F,Y50-64,SK,2013,6.1
ED0-2,F,Y50-64,SK,2018,5.7
ED0-2,F,Y50-64,TR,2013,5.7
ED0-2,F,Y50-64,TR,2018,5.5
ED0-2,F,Y50-64,UK,2013,6.8
ED0-2,F,Y50-64,UK,2018,7.1
ED0-2,F,Y65-74,AT,2013,7.5
ED0-2,F,Y65-74,AT,2018,7.5
ED0-2,F,Y65-74,BE,2013,7.2
ED0-2,F,Y65-74,BE,2018,7.3
ED0-2,F,Y65-74,BG,2013,3.7
ED0-2,F,Y65-74,BG,2018,4
ED0-2,F,Y65-74,CH,2013,
ED0-2,F,Y65-74,CH,2018,8.2
ED0-2,F,Y65-74,CY,2013,5.5
ED0-2,F,Y65-74,CY,2018,6.5
ED0-2,F,Y65-74,CZ,2013,6.4
ED0-2,F,Y65-74,CZ,2018,6.5
ED0-2,F,Y65-74,DE,2013,7.2
ED0-2,F,Y65-74,DE,2018,7.3
ED0-2,F,Y65-74,DK,2013,8.4
ED0-2,F,Y65-74,DK,2018,8.2
ED0-2,F,Y65-74,EE,2013,5.9
ED0-2,F,Y65-74,EE,2018,6.2
ED0-2,F,Y65-74,EL,2013,5.6
ED0-2,F,Y65-74,EL,2018,6
ED0-2,F,Y65-74,ES,2013,6.7
ED0-2,F,Y65-74,ES,2018,6.9
ED0-2,F,Y65-74,FI,2013,8.1
ED0-2,F,Y65-74,FI,2018,8.3
ED0-2,F,Y65-74,FR,2013,6.8
ED0-2,F,Y65-74,FR,2018,6.9
ED0-2,F,Y65-74,HR,2013,5.7
ED0-2,F,Y65-74,HR,2018,5.5
ED0-2,F,Y65-74,HU,2013,5.4
ED0-2,F,Y65-74,HU,2018,5.5
ED0-2,F,Y65-74,IE,2013,7.9
ED0-2,F,Y65-74,IE,2018,8
ED0-2,F,Y65-74,IS,2013,7.8
ED0-2,F,Y65-74,IS,2018,8.1
ED0-2,F,Y65-74,IT,2013,6.3
ED0-2,F,Y65-74,IT,2018,6.7
ED0-2,F,Y65-74,LT,2013,6.2
ED0-2,F,Y65-74,LT,2018,5
ED0-2,F,Y65-74,LU,2013,7.1
ED0-2,F,Y65-74,LU,2018,7.7
ED0-2,F,Y65-74,LV,2013,5.7
ED0-2,F,Y65-74,LV,2018,6
ED0-2,F,Y65-74,MT,2013,7
ED0-2,F,Y65-74,MT,2018,7.3
ED0-2,F,Y65-74,NL,2013,7.9
ED0-2,F,Y65-74,NL,2018,7.8
ED0-2,F,Y65-74,NO,2013,7.9
ED0-2,F,Y65-74,NO,2018,8
ED0-2,F,Y65-74,PL,2013,6.9
ED0-2,F,Y65-74,PL,2018,7.1
ED0-2,F,Y65-74,PT,2013,5.9
ED0-2,F,Y65-74,PT,2018,5.8
ED0-2,F,Y65-74,RO,2013,6.3
ED0-2,F,Y65-74,RO,2018,6.3
ED0-2,F,Y65-74,RS,2013,4.3
ED0-2,F,Y65-74,RS,2018,4.8
ED0-2,F,Y65-74,SE,2013,8.4
ED0-2,F,Y65-74,SE,2018,8.3
ED0-2,F,Y65-74,SI,2013,6
ED0-2,F,Y65-74,SI,2018,6.2
ED0-2,F,Y65-74,SK,2013,6.5
ED0-2,F,Y65-74,SK,2018,5.9
ED0-2,F,Y65-74,TR,2013,6.2
ED0-2,F,Y65-74,TR,2018,5.7
ED0-2,F,Y65-74,UK,2013,7.3
ED0-2,F,Y65-74,UK,2018,7.9
ED0-2,F,Y_GE16,AT,2013,7.4
ED0-2,F,Y_GE16,AT,2018,7.5
ED0-2,F,Y_GE16,BE,2013,7.2
ED0-2,F,Y_GE16,BE,2018,7.2
ED0-2,F,Y_GE16,BG,2013,3.8
ED0-2,F,Y_GE16,BG,2018,4.2
ED0-2,F,Y_GE16,CH,2013,
ED0-2,F,Y_GE16,CH,2018,7.7
ED0-2,F,Y_GE16,CY,2013,5.8
ED0-2,F,Y_GE16,CY,2018,6.6
ED0-2,F,Y_GE16,CZ,2013,6.5
ED0-2,F,Y_GE16,CZ,2018,6.7
ED0-2,F,Y_GE16,DE,2013,6.9
ED0-2,F,Y_GE16,DE,2018,6.9
ED0-2,F,Y_GE16,DK,2013,8.1
ED0-2,F,Y_GE16,DK,2018,7.7
ED0-2,F,Y_GE16,EE,2013,6.3
ED0-2,F,Y_GE16,EE,2018,6.8
ED0-2,F,Y_GE16,EL,2013,5.7
ED0-2,F,Y_GE16,EL,2018,6
ED0-2,F,Y_GE16,ES,2013,6.6
ED0-2,F,Y_GE16,ES,2018,6.9
ED0-2,F,Y_GE16,FI,2013,7.9
ED0-2,F,Y_GE16,FI,2018,8.1
ED0-2,F,Y_GE16,FR,2013,6.7
ED0-2,F,Y_GE16,FR,2018,6.9
ED0-2,F,Y_GE16,HR,2013,5.7
ED0-2,F,Y_GE16,HR,2018,5.3
ED0-2,F,Y_GE16,HU,2013,5.4
ED0-2,F,Y_GE16,HU,2018,5.7
ED0-2,F,Y_GE16,IE,2013,7.3
ED0-2,F,Y_GE16,IE,2018,7.8
ED0-2,F,Y_GE16,IS,2013,7.9
ED0-2,F,Y_GE16,IS,2018,7.5
ED0-2,F,Y_GE16,IT,2013,6.3
ED0-2,F,Y_GE16,IT,2018,6.6
ED0-2,F,Y_GE16,LT,2013,6.3
ED0-2,F,Y_GE16,LT,2018,5.4
ED0-2,F,Y_GE16,LU,2013,7.1
ED0-2,F,Y_GE16,LU,2018,7.3
ED0-2,F,Y_GE16,LV,2013,6.1
ED0-2,F,Y_GE16,LV,2018,6.2
ED0-2,F,Y_GE16,MT,2013,6.8
ED0-2,F,Y_GE16,MT,2018,7.2
ED0-2,F,Y_GE16,NL,2013,7.8
ED0-2,F,Y_GE16,NL,2018,7.6
ED0-2,F,Y_GE16,NO,2013,7.7
ED0-2,F,Y_GE16,NO,2018,7.9
ED0-2,F,Y_GE16,PL,2013,6.9
ED0-2,F,Y_GE16,PL,2018,7.3
ED0-2,F,Y_GE16,PT,2013,5.9
ED0-2,F,Y_GE16,PT,2018,6.1
ED0-2,F,Y_GE16,RO,2013,6.6
ED0-2,F,Y_GE16,RO,2018,6.6
ED0-2,F,Y_GE16,RS,2013,4.4
ED0-2,F,Y_GE16,RS,2018,4.9
ED0-2,F,Y_GE16,SE,2013,7.9
ED0-2,F,Y_GE16,SE,2018,7.9
ED0-2,F,Y_GE16,SI,2013,6.2
ED0-2,F,Y_GE16,SI,2018,6.5
ED0-2,F,Y_GE16,SK,2013,6.5
ED0-2,F,Y_GE16,SK,2018,6.3
ED0-2,F,Y_GE16,TR,2013,5.8
ED0-2,F,Y_GE16,TR,2018,5.6
ED0-2,F,Y_GE16,UK,2013,7.1
ED0-2,F,Y_GE16,UK,2018,7.5
ED0-2,F,Y_GE65,AT,2018,7.5
ED0-2,F,Y_GE65,BE,2018,7.3
ED0-2,F,Y_GE65,BG,2018,3.7
ED0-2,F,Y_GE65,CH,2018,8
ED0-2,F,Y_GE65,CY,2018,6.4
ED0-2,F,Y_GE65,CZ,2018,6.5
ED0-2,F,Y_GE65,DE,2018,7
