Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Romania,ROU,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,134140
Romania,ROU,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,133780
Romania,ROU,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,135210
Romania,ROU,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,138580
Romania,ROU,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,138300
Romania,ROU,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,139050
Romania,ROU,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,137330
Romania,ROU,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,139820
Romania,ROU,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,141560
Romania,ROU,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,136210
Romania,ROU,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,136340
Romania,ROU,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,136300
Romania,ROU,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,140390
Romania,ROU,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,141800
Romania,ROU,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,141300
Romania,ROU,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,148000
Romania,ROU,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,148180
Romania,ROU,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,147980
Romania,ROU,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,148570
Romania,ROU,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,147810
Romania,ROU,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,147470
Romania,ROU,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,147980
Romania,ROU,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,147820
Romania,ROU,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,147970
Romania,ROU,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,147980
Romania,ROU,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,147930
Romania,ROU,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,147900
Romania,ROU,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,147980
Romania,ROU,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,147690
Romania,ROU,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,147580
Romania,ROU,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,151090
Romania,ROU,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,150930
Romania,ROU,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,150380
Romania,ROU,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,150200
Romania,ROU,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,149920
Romania,ROU,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,149810
Romania,ROU,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,149630
Romania,ROU,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,149480
Romania,ROU,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,149640
Romania,ROU,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,149670
Romania,ROU,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,149650
Romania,ROU,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,149600
Romania,ROU,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,149550
Romania,ROU,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,149460
Romania,ROU,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,149290
Romania,ROU,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,149040
Romania,ROU,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,149430
Romania,ROU,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,149350
Romania,ROU,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,149300
Romania,ROU,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,149680
Romania,ROU,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,149720
Romania,ROU,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,148380
Romania,ROU,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,148350
Romania,ROU,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,147910
Romania,ROU,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,147420
Romania,ROU,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,147240
Romania,ROU,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,146880
Romania,ROU,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,146010
Romania,ROU,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.30146036
Romania,ROU,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.14499305
Romania,ROU,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.76651599
Romania,ROU,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.23122392
Romania,ROU,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.10952712
Romania,ROU,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.44863713
Romania,ROU,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.70350404
Romania,ROU,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.74640483
Romania,ROU,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.53444903
Romania,ROU,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.20629401
Romania,ROU,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.30404524
Romania,ROU,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.28922528
Romania,ROU,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.04443865
Romania,ROU,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.65753544
Romania,ROU,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.43478261
Romania,ROU,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.36181779
Romania,ROU,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.4625223
Romania,ROU,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.4203561
Romania,ROU,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.67720169
Romania,ROU,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.3771777
Romania,ROU,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.23189163
Romania,ROU,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.47087527
Romania,ROU,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.40397351
Romania,ROU,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.47775502
Romania,ROU,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.4764934
Romania,ROU,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.46875272
Romania,ROU,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.45567855
Romania,ROU,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.49054301
Romania,ROU,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.39502943
Romania,ROU,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.3470678
Romania,ROU,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.5943388
Romania,ROU,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.52487627
Romania,ROU,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.28609881
Romania,ROU,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.20795346
Romania,ROU,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.08639403
Romania,ROU,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.03863853
Romania,ROU,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.96049318
Romania,ROU,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.89537206
Romania,ROU,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.96483459
Romania,ROU,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.97785882
Romania,ROU,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.969176
Romania,ROU,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.94746896
Romania,ROU,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.92576192
Romania,ROU,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.88668924
Romania,ROU,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.8128853
Romania,ROU,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.70435009
Romania,ROU,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.87366502
Romania,ROU,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.83893375
Romania,ROU,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.81722671
Romania,ROU,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.98220023
Romania,ROU,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.99956586
Romania,ROU,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.41781714
Romania,ROU,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.40479291
Romania,ROU,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.21377095
Romania,ROU,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.00104194
Romania,ROU,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.92289659
Romania,ROU,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.76660589
Romania,ROU,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.38890336
Romania,ROU,2018,Arable land (% of land area),AG.LND.ARBL.ZS,37.75208623
Romania,ROU,2017,Arable land (% of land area),AG.LND.ARBL.ZS,37.13056328
Romania,ROU,2016,Arable land (% of land area),AG.LND.ARBL.ZS,37.30006954
Romania,ROU,2015,Arable land (% of land area),AG.LND.ARBL.ZS,38.15194715
Romania,ROU,2014,Arable land (% of land area),AG.LND.ARBL.ZS,38.15194715
Romania,ROU,2013,Arable land (% of land area),AG.LND.ARBL.ZS,38.02112768
Romania,ROU,2012,Arable land (% of land area),AG.LND.ARBL.ZS,38.24884793
Romania,ROU,2011,Arable land (% of land area),AG.LND.ARBL.ZS,39.07981057
Romania,ROU,2010,Arable land (% of land area),AG.LND.ARBL.ZS,39.75657466
Romania,ROU,2009,Arable land (% of land area),AG.LND.ARBL.ZS,38.20307746
Romania,ROU,2008,Arable land (% of land area),AG.LND.ARBL.ZS,37.9338843
Romania,ROU,2007,Arable land (% of land area),AG.LND.ARBL.ZS,37.73543869
Romania,ROU,2006,Arable land (% of land area),AG.LND.ARBL.ZS,38.86859727
Romania,ROU,2005,Arable land (% of land area),AG.LND.ARBL.ZS,39.06861466
Romania,ROU,2004,Arable land (% of land area),AG.LND.ARBL.ZS,38.76086957
Romania,ROU,2003,Arable land (% of land area),AG.LND.ARBL.ZS,40.77843009
Romania,ROU,2002,Arable land (% of land area),AG.LND.ARBL.ZS,40.78827163
Romania,ROU,2001,Arable land (% of land area),AG.LND.ARBL.ZS,40.79491533
Romania,ROU,2000,Arable land (% of land area),AG.LND.ARBL.ZS,40.83844848
Romania,ROU,1999,Arable land (% of land area),AG.LND.ARBL.ZS,40.6445993
Romania,ROU,1998,Arable land (% of land area),AG.LND.ARBL.ZS,40.61588048
Romania,ROU,1997,Arable land (% of land area),AG.LND.ARBL.ZS,40.71798893
Romania,ROU,1996,Arable land (% of land area),AG.LND.ARBL.ZS,40.68055071
Romania,ROU,1995,Arable land (% of land area),AG.LND.ARBL.ZS,40.68586867
Romania,ROU,1994,Arable land (% of land area),AG.LND.ARBL.ZS,40.69103743
Romania,ROU,1993,Arable land (% of land area),AG.LND.ARBL.ZS,40.70862024
Romania,ROU,1992,Arable land (% of land area),AG.LND.ARBL.ZS,40.77834917
Romania,ROU,1991,Arable land (% of land area),AG.LND.ARBL.ZS,41.065981
Romania,ROU,1990,Arable land (% of land area),AG.LND.ARBL.ZS,41.20340092
Romania,ROU,1989,Arable land (% of land area),AG.LND.ARBL.ZS,41.2382821
Romania,ROU,1988,Arable land (% of land area),AG.LND.ARBL.ZS,43.87861422
Romania,ROU,1987,Arable land (% of land area),AG.LND.ARBL.ZS,43.7613962
Romania,ROU,1986,Arable land (% of land area),AG.LND.ARBL.ZS,43.43579057
Romania,ROU,1985,Arable land (% of land area),AG.LND.ARBL.ZS,43.3489624
Romania,ROU,1984,Arable land (% of land area),AG.LND.ARBL.ZS,43.13189199
Romania,ROU,1983,Arable land (% of land area),AG.LND.ARBL.ZS,42.99730833
Romania,ROU,1982,Arable land (% of land area),AG.LND.ARBL.ZS,42.84970044
Romania,ROU,1981,Arable land (% of land area),AG.LND.ARBL.ZS,42.75853087
Romania,ROU,1980,Arable land (% of land area),AG.LND.ARBL.ZS,42.69340974
Romania,ROU,1979,Arable land (% of land area),AG.LND.ARBL.ZS,42.6196058
Romania,ROU,1978,Arable land (% of land area),AG.LND.ARBL.ZS,42.55882608
Romania,ROU,1977,Arable land (% of land area),AG.LND.ARBL.ZS,42.4633151
