Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Romania,ROU,2018,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,12.10000038
Romania,ROU,2016,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,14.39999962
Romania,ROU,2018,Income share held by second 20%,SI.DST.02ND.20,11.9
Romania,ROU,2017,Income share held by second 20%,SI.DST.02ND.20,11.7
Romania,ROU,2016,Income share held by second 20%,SI.DST.02ND.20,12.1
Romania,ROU,2015,Income share held by second 20%,SI.DST.02ND.20,11.8
Romania,ROU,2014,Income share held by second 20%,SI.DST.02ND.20,11.9
Romania,ROU,2013,Income share held by second 20%,SI.DST.02ND.20,11.4
Romania,ROU,2012,Income share held by second 20%,SI.DST.02ND.20,11.5
Romania,ROU,2011,Income share held by second 20%,SI.DST.02ND.20,11.6
Romania,ROU,2010,Income share held by second 20%,SI.DST.02ND.20,11.8
Romania,ROU,2009,Income share held by second 20%,SI.DST.02ND.20,11.8
Romania,ROU,2008,Income share held by second 20%,SI.DST.02ND.20,11.7
Romania,ROU,2007,Income share held by second 20%,SI.DST.02ND.20,11.4
Romania,ROU,2006,Income share held by second 20%,SI.DST.02ND.20,10.8
Romania,ROU,2018,Income share held by third 20%,SI.DST.03RD.20,17.3
Romania,ROU,2017,Income share held by third 20%,SI.DST.03RD.20,17.4
Romania,ROU,2016,Income share held by third 20%,SI.DST.03RD.20,17.9
Romania,ROU,2015,Income share held by third 20%,SI.DST.03RD.20,17.7
Romania,ROU,2014,Income share held by third 20%,SI.DST.03RD.20,17.8
Romania,ROU,2013,Income share held by third 20%,SI.DST.03RD.20,17.4
Romania,ROU,2012,Income share held by third 20%,SI.DST.03RD.20,17.1
Romania,ROU,2011,Income share held by third 20%,SI.DST.03RD.20,17.1
Romania,ROU,2010,Income share held by third 20%,SI.DST.03RD.20,17.1
Romania,ROU,2009,Income share held by third 20%,SI.DST.03RD.20,16.9
Romania,ROU,2008,Income share held by third 20%,SI.DST.03RD.20,16.7
Romania,ROU,2007,Income share held by third 20%,SI.DST.03RD.20,16.6
Romania,ROU,2006,Income share held by third 20%,SI.DST.03RD.20,16.3
Romania,ROU,2018,Income share held by fourth 20%,SI.DST.04TH.20,24.2
Romania,ROU,2017,Income share held by fourth 20%,SI.DST.04TH.20,24.7
Romania,ROU,2016,Income share held by fourth 20%,SI.DST.04TH.20,24.8
Romania,ROU,2015,Income share held by fourth 20%,SI.DST.04TH.20,24.7
Romania,ROU,2014,Income share held by fourth 20%,SI.DST.04TH.20,24.7
Romania,ROU,2013,Income share held by fourth 20%,SI.DST.04TH.20,24.6
Romania,ROU,2012,Income share held by fourth 20%,SI.DST.04TH.20,24.3
Romania,ROU,2011,Income share held by fourth 20%,SI.DST.04TH.20,24.6
Romania,ROU,2010,Income share held by fourth 20%,SI.DST.04TH.20,24.2
Romania,ROU,2009,Income share held by fourth 20%,SI.DST.04TH.20,23.7
Romania,ROU,2008,Income share held by fourth 20%,SI.DST.04TH.20,23.5
Romania,ROU,2007,Income share held by fourth 20%,SI.DST.04TH.20,23.2
Romania,ROU,2006,Income share held by fourth 20%,SI.DST.04TH.20,22.8
Romania,ROU,2018,Income share held by highest 20%,SI.DST.05TH.20,41.2
Romania,ROU,2017,Income share held by highest 20%,SI.DST.05TH.20,41
Romania,ROU,2016,Income share held by highest 20%,SI.DST.05TH.20,39.7
Romania,ROU,2015,Income share held by highest 20%,SI.DST.05TH.20,40.8
Romania,ROU,2014,Income share held by highest 20%,SI.DST.05TH.20,40.7
Romania,ROU,2013,Income share held by highest 20%,SI.DST.05TH.20,41.6
Romania,ROU,2012,Income share held by highest 20%,SI.DST.05TH.20,41.8
Romania,ROU,2011,Income share held by highest 20%,SI.DST.05TH.20,41.2
Romania,ROU,2010,Income share held by highest 20%,SI.DST.05TH.20,41.1
Romania,ROU,2009,Income share held by highest 20%,SI.DST.05TH.20,41.5
Romania,ROU,2008,Income share held by highest 20%,SI.DST.05TH.20,42.3
Romania,ROU,2007,Income share held by highest 20%,SI.DST.05TH.20,43.3
Romania,ROU,2006,Income share held by highest 20%,SI.DST.05TH.20,45
Romania,ROU,2018,Income share held by highest 10%,SI.DST.10TH.10,24.9
Romania,ROU,2017,Income share held by highest 10%,SI.DST.10TH.10,24.9
Romania,ROU,2016,Income share held by highest 10%,SI.DST.10TH.10,23.7
Romania,ROU,2015,Income share held by highest 10%,SI.DST.10TH.10,24.8
Romania,ROU,2014,Income share held by highest 10%,SI.DST.10TH.10,24.5
Romania,ROU,2013,Income share held by highest 10%,SI.DST.10TH.10,25.4
Romania,ROU,2012,Income share held by highest 10%,SI.DST.10TH.10,25.5
Romania,ROU,2011,Income share held by highest 10%,SI.DST.10TH.10,24.9
Romania,ROU,2010,Income share held by highest 10%,SI.DST.10TH.10,25
Romania,ROU,2009,Income share held by highest 10%,SI.DST.10TH.10,25.7
Romania,ROU,2008,Income share held by highest 10%,SI.DST.10TH.10,26.5
Romania,ROU,2007,Income share held by highest 10%,SI.DST.10TH.10,27.4
Romania,ROU,2006,Income share held by highest 10%,SI.DST.10TH.10,29
Romania,ROU,2018,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,18.1
Romania,ROU,2017,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,19.2
Romania,ROU,2016,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,18.8
Romania,ROU,2015,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,20.5
Romania,ROU,2014,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,21.3
Romania,ROU,2013,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,20.9
Romania,ROU,2012,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,18.9
Romania,ROU,2011,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,18.2
Romania,ROU,2010,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,17.9
Romania,ROU,2009,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,16.8
Romania,ROU,2008,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,17
Romania,ROU,2007,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,18.4
Romania,ROU,2006,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,20.1
Romania,ROU,2018,Income share held by lowest 10%,SI.DST.FRST.10,1.6
Romania,ROU,2017,Income share held by lowest 10%,SI.DST.FRST.10,1.6
Romania,ROU,2016,Income share held by lowest 10%,SI.DST.FRST.10,1.8
Romania,ROU,2015,Income share held by lowest 10%,SI.DST.FRST.10,1.6
