Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Romania,ROU,2020,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,886842442.5
Romania,ROU,2019,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,936735170.4
Romania,ROU,2018,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,962384646.5
Romania,ROU,2017,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,911037524.1
Romania,ROU,2016,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,832020078
Romania,ROU,2015,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,834447967.1
Romania,ROU,2014,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,901296183
Romania,ROU,2013,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,879803422.6
Romania,ROU,2012,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,452525195.7
Romania,ROU,2011,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,482416189.5
Romania,ROU,2010,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,445022001.1
Romania,ROU,2009,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,367264725
Romania,ROU,2008,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,345932437.5
Romania,ROU,2007,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,247969547.9
Romania,ROU,2006,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,235424080.6
Romania,ROU,2005,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,173274997.6
Romania,ROU,2004,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,108000000
Romania,ROU,2003,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,80000000
Romania,ROU,2002,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,85000000
Romania,ROU,2001,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,60000000
Romania,ROU,2000,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,45000000
Romania,ROU,1999,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,38000000
Romania,ROU,1998,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,21000000
Romania,ROU,1997,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,29000000
Romania,ROU,1996,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,12000000
Romania,ROU,1995,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,8000000
