Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Romania,ROU,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.88
Romania,ROU,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.63
Romania,ROU,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.24
Romania,ROU,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.02
Romania,ROU,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.3
Romania,ROU,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.97
Romania,ROU,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.48
Romania,ROU,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.3
Romania,ROU,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.67
Romania,ROU,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.3
Romania,ROU,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.2
Romania,ROU,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.79
Romania,ROU,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.63
Romania,ROU,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.3
Romania,ROU,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.45
Romania,ROU,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.7
Romania,ROU,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.07
Romania,ROU,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.65
